Sample ID,Island,Latitude (degrees N),Longitude (degrees E),Rock name,Al2O3 (percent),Cr (ppm),Rb (ppm)
s_GM92-54 [973],KERGUELEN / FOCH / MOUNT BUREAU,-48.55,68.50,"BASALT, TRANSITIONAL [973]",13.53,21.00,16.70
T526,TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA,-37.12,-12.28,ol basalt,15.85,21.00,40.00
s_21P [16348],MARQUESAS / HIVA OA / TEMETIU / SHIELD STAGE,-9.79,-139.13,HAWAIITE [16348],16.20,21.00,51.50
s_K8 [901],CANARY ISLANDS / GRAN CANARIA / POST-SHIELD STAGE / MOGAN FORMATION,28.00,-15.60,RHYOLITE [901] / NOT GIVEN [922],15.50,21.00,126.70
s_UP56 [8489],MARQUESAS / UA POU,-9.42,-140.00,"PHONOLITE, TEPHRI [8489]",20.00,21.00,150.00
s_AZF-03-27 [16224],AZORES / FAIAL,38.68,-28.86,"BASALT, ALKALINE [16224] / NOT GIVEN [21396]",19.06,21.01,22.26
s_HK-18 [20654],HAWAIIAN ISLANDS / MAUI / HALEAKALA / REJUVENATED STAGE / HANA SERIES,20.71,-156.21,BASANITE [20654],14.03,21.30,38.40
s_I1315 [12148],ICELAND / ICELAND,64.69,-14.69,NOT GIVEN [12148],13.01,21.50,10.80
s_C-09-02 [16341],AZORES / CORVO / PRE-CALDERA STAGE,39.68,-31.10,TEPHRITE [16341] / NOT GIVEN [19965],16.33,21.87,47.96
s_M15ACIDWASHED [1199],AUSTRAL-COOK ISLANDS / MANGAIA,-21.93,-157.93,"BASALT, ALKALINE [1199]",15.07,22.00,17.60
s_H1382 [947],CANARY ISLANDS / GRAN CANARIA / HOGARZALES FORMATION,28.00,-15.60,THOLEIITE [947],14.19,22.00,23.73
s_OR248 [4594] / s_OR-248 [14498],ICELAND / ICELAND / ÷RAEFAJ÷KULL,64.03,-16.68,BASALT [4594] / NOT GIVEN [14498],14.37,22.00,27.00
s_RP14 [1230],MASCARENE ISLANDS INCL. REUNION / REUNION / PITON DE LA FOURNAISE,-21.23,55.60,MUGEARITE [1230],16.04,22.00,33.40
s_IB1605 [12148],ICELAND / ICELAND,65.13,-13.95,NOT GIVEN [12148],12.97,22.70,15.80
s_PS-4 [3348],MADEIRA ARCHIPELAGO / PORTO SANTO,33.08,-16.03,BASALT [3348],16.08,23.00,9.70
s_D369.0 [789],MARQUESAS / EIAO,-8.00,-140.67,"BASALT, ALKALINE [789]",13.75,23.00,18.00
s_AG99-193 [6897],AMSTERDAM-ST. PAUL / ST. PAUL ISLAND,-38.75,77.50,BASALT [6897],14.32,23.00,19.20
